Date,Open,High,Low,Close,Adj Close,Volume
2018-03-26,69.430000,70.139999,68.430000,70.080002,69.720566,4709400
2018-03-27,70.669998,70.669998,65.559998,66.290001,65.950005,7334900
2018-03-28,65.930000,66.540001,64.449997,65.970001,65.970001,10463600
2018-03-29,66.339996,68.010002,64.919998,67.459999,67.459999,11704300
2018-04-02,66.800003,67.230003,64.089996,65.089996,65.089996,9041800
2018-04-03,65.389999,65.860001,64.089996,65.480003,65.480003,7186400
2018-04-04,63.959999,66.519997,63.520000,66.269997,66.269997,5231700
2018-04-05,67.199997,67.660004,66.150002,66.529999,66.529999,4489700
2018-04-06,65.849998,66.360001,64.129997,64.559998,64.559998,4599100
2018-04-09,65.160004,66.769997,64.959999,65.769997,65.769997,6587800
2018-04-10,66.959999,67.050003,65.300003,66.519997,66.519997,6317100
2018-04-11,65.800003,66.769997,65.709999,65.849998,65.849998,3140300
2018-04-12,66.250000,67.580002,65.800003,67.220001,67.220001,4614900
2018-04-13,67.459999,67.589996,65.290001,65.879997,65.879997,4842600
2018-04-16,66.529999,66.849998,65.760002,66.559998,66.559998,5717800
2018-04-17,67.250000,68.519997,67.099998,68.279999,68.279999,5676300
2018-04-18,68.750000,69.010002,67.970001,68.690002,68.690002,4257400
2018-04-19,68.250000,68.720001,67.440002,67.680000,67.680000,4564300
2018-04-20,67.440002,67.470001,65.959999,66.300003,66.300003,4759400
2018-04-23,66.599998,67.839996,65.970001,66.230003,66.230003,4307700
